A4,A4,
API Endpoint,API এন্ডপয়েন্ট,
API Key,API কী,
Access Token,অ্যাক্সেস টোকেন,
Account,হিসাব,
Accounts Manager,হিসাবরক্ষক ব্যবস্থাপক,
Accounts User,ব্যবহারকারীর অ্যাকাউন্ট,
Action,কর্ম,
Actions,পদক্ষেপ,
Active,সক্রিয়,
Add,যোগ,
Add Row,সারি যোগ করুন,
Address,ঠিকানা,
Address Line 2,ঠিকানা লাইন ২,
Address Title,ঠিকানা শিরোনাম,
Address Type,ঠিকানা টাইপ করুন,
Administrator,প্রশাসক,
All Day,সারাদিন,
Allow Delete,মুছে মঞ্জুরি,
Amended From,সংশোধিত,
Amount,পরিমাণ,
Applicable For,জন্য প্রযোজ্য,
Approval Status,অনুমোদন অবস্থা,
Assign,দায়িত্ব অর্পণ করা,
Assign To,ধার্য,
Attachment,ক্রোক,
Attachments,সংযুক্তি,
Author,লেখক,
Auto Repeat,অটো পুনরাবৃত্তি,
Base URL,বেস URL,
Based On,উপর ভিত্তি করে,
Beginner,শিক্ষানবিস,
Billing,বিলিং,
Cancel,বাতিল,
Category,শ্রেণী,
Category Name,নামের তালিকা,
City,শহর,
City/Town,শহর / টাউন,
Client,মক্কেল,
Client ID,ক্লায়েন্ট আইডি,
Client Secret,ক্লায়েন্ট সিক্রেট,
Closed,বন্ধ,
Code,কোড,
Collapse All,সব ভেঙ্গে,
Color,রঙ,
Company Name,কোমপানির নাম,
Condition,শর্ত,
Contact,যোগাযোগ,
Contact Details,যোগাযোগের ঠিকানা,
Content,বিষয়বস্তু,
Content Type,কোন ধরনের,
Create,তৈরি করুন,
Created By,দ্বারা নির্মিত,
Current,বর্তমান,
Custom HTML,কাস্টম এইচটিএমএল,
Custom?,কাস্টম?,
Date Format,তারিখ বিন্যাস,
Datetime,তারিখ সময়,
Day,দিন,
Default Letter Head,চিঠি মাথা ডিফল্ট,
Defaults,ডিফল্ট,
Delivery Status,ডেলিভারি স্থিতি,
Department,বিভাগ,
Details,বিবরণ,
Document Name,ডকুমেন্ট নাম,
Document Status,নথির অবস্থা,
Document Type,নথিপত্র ধরণ,
Domain,ডোমেইন,
Domains,ডোমেইন,
Draft,খসড়া,
Edit,সম্পাদন করা,
Email Account,ইমেইল একাউন্ট,
Email Address,ইমেল ঠিকানা,
Email ID,ইমেইল আইডি,
Email Sent,ইমেইল পাঠানো,
Email Template,ইমেল টেমপ্লেট,
Enable,সক্ষম করা,
Enabled,সক্রিয়,
End Date,শেষ তারিখ,
