A4,A4,
API Endpoint,API ముగింపు స్థానం,
API Key,API కీ,
Access Token,ప్రాప్తి టోకెన్,
Account,ఖాతా,
Accounts Manager,అకౌంట్స్ మేనేజర్,
Accounts User,యూజర్ ఖాతాలను,
Action,యాక్షన్,
Actions,చర్యలు,
Active,Active,
Add,చేర్చు,
Add Row,రో జోడించండి,
Address,చిరునామా,
Address Line 2,చిరునామా లైన్ 2,
Address Title,చిరునామా శీర్షిక,
Address Type,చిరునామాను టైప్,
Administrator,అడ్మినిస్ట్రేటర్,
All Day,రోజంతా,
Allow Delete,తొలగించు అనుమతించు,
Amended From,సవరించిన,
Amount,మొత్తం,
Applicable For,కోసం వర్తించే,
Approval Status,ఆమోద స్థితి,
Assign,అప్పగించుము,
Assign To,అప్పగించుము,
Attachment,జోడింపు,
Attachments,అటాచ్మెంట్లు,
Author,రచయిత,
Auto Repeat,ఆటో రిపీట్,
Base URL,బేస్ URL,
Based On,ఆధారంగా,
Beginner,బిగినర్స్,
Billing,బిల్లింగ్,
Cancel,రద్దు,
Category,వర్గం,
Category Name,వర్గం పేరు,
City,సిటీ,
City/Town,నగరం / పట్టణం,
Client,క్లయింట్,
Client ID,క్లయింట్ ID,
Client Secret,క్లయింట్ సీక్రెట్,
Closed,ముగించబడినది,
Code,కోడ్,
Collapse All,అన్నీ కుదించు,
Color,రంగు,
Company Name,కంపెనీ పేరు,
Condition,కండిషన్,
Contact,సంప్రదించండి,
Contact Details,సంప్రదింపు వివరాలు,
Content,కంటెంట్,
Content Type,కంటెంట్ రకం,
Create,సృష్టించు,
Created By,రూపొందించినవారు,
Current,ప్రస్తుత,
Custom HTML,కస్టమ్ HTML,
Custom?,కస్టమ్?,
Date Format,తేదీ ఫార్మాట్,
Datetime,తేదీసమయం,
Day,డే,
Default Letter Head,లెటర్ హెడ్ Default,
Defaults,అప్రమేయం,
Delivery Status,డెలివరీ స్థాయి,
Department,శాఖ,
Details,వివరాలు,
Document Name,డాక్యుమెంట్ పేరు,
Document Status,డాక్యుమెంట్ స్థితి,
Document Type,డాక్యుమెంట్ టైప్,
Domain,డొమైన్,
Domains,డొమైన్స్,
Draft,డ్రాఫ్ట్,
Edit,మార్చు,
Email Account,ఇమెయిల్ ఖాతా,
Email Address,ఇమెయిల్ చిరునామా,
Email ID,ఇమెయిల్ ID,
Email Sent,ఇమెయిల్ పంపబడింది,
Email Template,ఇమెయిల్ మూస,
Enable,ప్రారంభించు,
Enabled,ప్రారంభించబడ్డ,
End Date,ముగింపు తేదీ,
Error Code: {0},దోష కోడ్: {0},
Error Log,లోపం లాగ్,
Event,ఈవెంట్,
Expand All,అన్నింటినీ విస్తరించుట,
Fail,విఫలం,
Failed,విఫలమైంది,
Fax,ఫ్యాక్స్,
Feedback,అభిప్రాయం,
Female,పురుషుడు,
Field Name,ఫీల్డ్ పేరు,
Fieldname,FIELDNAME,
Fields,ఫీల్డ్స్,
First Name,మొదటి పేరు,
Frequency,ఫ్రీక్వెన్సీ,
Friday,శుక్రవారం,
From,నుండి,
Full,పూర్తి,
Full Name,పూర్తి పేరు,
Further nodes can be only created under 'Group' type nodes,మరింత నోడ్స్ మాత్రమే &#39;గ్రూప్&#39; రకం నోడ్స్ కింద రూపొందించినవారు చేయవచ్చు,
Gender,లింగ,
GitHub Sync ID,GitHub Sync ID,
Guest,గెస్ట్,
Half Day,హాఫ్ డే,
Half Yearly,అర్ధవార్షిక,
High,హై,
Hourly,ప్రతిగంట,
Hub Sync ID,హబ్ సమకాలీకరణ ID,
IP Address,IP చిరునామా,
Image,చిత్రం,
Image View,చిత్రం చూడండి,
Import Data,దిగుమతి డేటా,
Import Log,దిగుమతుల చిట్టా,
Inactive,క్రియారహిత,
Insert,చొప్పించు,
Interests,అభిరుచులు,
Introduction,పరిచయం,
Is Active,చురుకుగా ఉంది,
Is Completed,పూర్తయిన,
Is Default,డిఫాల్టు,
